1,2,3,4,5,6,7,8,class
84.738095, 84.738095, 61.166667, 60.579313, 131.026316, 130.480682, 115.303571, 114.789413, false
188.547619, 186.289635, 197.357143, 195.124655, 201.219298, 200.339885, 199.062500, 198.175606, true
197.071429, 194.712779, 196.690476, 194.362632, 184.736842, 183.926854, 193.964286, 193.097899, false
176.714286, 174.609905, 180.619048, 178.457148, 184.561404, 183.750297, 179.616071, 178.812948, true
141.690476, 139.993766, 155.357143, 153.505296, 155.263158, 154.599472, 151.839286, 151.175753, false
183.261905, 181.072092, 179.857143, 177.706237, 183.956140, 183.149459, 178.892857, 178.092818, true
221.761905, 219.144888, 208.619048, 206.134189, 204.254386, 203.356951, 204.910714, 203.995253, false
177.190476, 175.077841, 180.285714, 178.169252, 183.692982, 182.891443, 180.214286, 179.408630, true
144.023810, 142.298999, 141.023810, 139.335191, 177.500000, 176.719932, 166.294643, 165.554945, false
182.928571, 180.744412, 180.619048, 178.457973, 184.149123, 183.339690, 178.821429, 178.021695, true
154.285714, 152.453852, 141.857143, 140.158584, 147.087719, 146.441635, 150.366071, 149.693930, false
184.761905, 182.550897, 185.833333, 183.620716, 184.482456, 183.678868, 182.633929, 181.817298, true
129.666667, 128.149652, 132.023810, 130.479217, 157.859649, 157.262409, 156.491071, 155.825005, false
177.904762, 175.796264, 180.333333, 178.177502, 185.535088, 184.719830, 183.285714, 182.465680, true
114.547619, 113.180251, 131.976190, 130.416186, 125.552632, 125.006278, 135.142857, 134.581527, false
197.880952, 195.562659, 202.738095, 200.315105, 213.078947, 212.144870, 211.794643, 210.852293, true
166.833333, 164.839689, 160.404762, 158.732660, 157.842105, 157.149597, 152.964286, 152.329065, false
211.119048, 208.596157, 217.976190, 215.371157, 214.307018, 213.365006, 210.598214, 209.684455, true
157.261905, 155.595661, 136.809524, 135.175111, 103.315789, 102.864601, 119.660714, 119.137005, false
207.642857, 205.182493, 210.880952, 208.363732, 210.771930, 209.854473, 210.866071, 209.922622, true
202.642857, 200.222287, 207.714286, 205.248174, 201.324561, 200.464427, 206.553571, 205.629435, false
201.523810, 199.158741, 204.976190, 202.527203, 213.008772, 212.072547, 212.098214, 211.192221, true
125.904762, 124.520177, 109.714286, 108.521903, 148.438596, 147.790799, 134.946429, 134.381169, false
182.500000, 180.328173, 185.619048, 183.396835, 183.570175, 182.764262, 185.375000, 184.551296, true
115.738095, 114.410609, 127.642857, 126.119254, 137.263158, 136.688178, 140.625000, 140.000112, false
181.761905, 179.612186, 183.880952, 181.688330, 183.780702, 182.975374, 185.705357, 184.878355, true
185.285714, 183.068460, 191.000000, 188.726686, 213.149123, 212.212685, 204.267857, 203.358667, false
182.809524, 180.655552, 191.761905, 189.468564, 183.754386, 182.950265, 188.357143, 187.518625, true
174.976190, 172.881680, 156.642857, 154.766969, 194.947368, 194.090649, 184.982143, 184.159242, false
183.071429, 180.910523, 192.095238, 189.797771, 182.122807, 181.325125, 187.437500, 186.603836, true
186.190476, 184.054931, 184.000000, 181.805757, 211.631579, 210.701329, 204.044643, 203.141337, false
180.595238, 178.478854, 192.595238, 190.289350, 179.771930, 178.986680, 187.455357, 186.620338, true
133.571429, 131.975441, 141.738095, 140.134591, 155.605263, 154.931930, 146.053571, 145.407892, false
153.500000, 151.766150, 152.547619, 150.723066, 170.131579, 169.434167, 177.223214, 176.434046, true
179.642857, 177.517245, 188.166667, 185.913137, 158.807018, 158.149421, 171.446429, 170.680450, false
153.976190, 152.413771, 154.380952, 152.546487, 166.798246, 166.097042, 178.660714, 177.871035, true
114.285714, 113.114339, 88.833333, 87.973729, 241.421053, 240.359862, 190.455357, 189.668200, false
151.357143, 149.808693, 154.761905, 152.915821, 172.754386, 172.003060, 179.232143, 178.430284, true
199.380952, 197.112066, 194.761905, 192.461393, 178.087719, 177.314894, 182.669643, 181.861823, false
152.761905, 151.041689, 148.166667, 146.412537, 172.956140, 172.200851, 179.651786, 178.849839, true
152.523810, 150.730384, 136.666667, 135.095733, 66.043860, 65.760284, 111.089286, 110.657096, false
152.714286, 151.054243, 148.642857, 146.871334, 171.754386, 171.057900, 179.303571, 178.501357, true
180.809524, 178.651849, 184.285714, 182.079102, 186.877193, 186.056105, 193.250000, 192.386922, false
176.333333, 174.222969, 174.357143, 172.273784, 155.385965, 154.777789, 177.598214, 176.810544, true
131.857143, 130.287359, 138.238095, 136.582540, 190.456140, 189.619677, 170.883929, 170.133365, false
176.523810, 174.418665, 173.619048, 171.556120, 148.570175, 148.033157, 176.339286, 175.564144, true
158.357143, 156.540224, 93.238095, 93.045255, 153.149123, 152.476363, 142.375000, 141.797902, false
171.595238, 169.543012, 174.190476, 172.105291, 156.447368, 155.797086, 178.339286, 177.544201, true
161.738095, 159.814144, 164.547619, 162.577093, 175.692982, 174.921515, 175.205357, 174.424419, false
181.142857, 178.999629, 176.476190, 174.362646, 152.192982, 151.643230, 177.553571, 176.778318, true
180.404762, 178.318661, 181.380952, 179.209406, 171.736842, 170.983703, 179.321429, 178.520566, false
176.500000, 174.386168, 173.785714, 171.711607, 150.570175, 150.015626, 177.696429, 176.909265, true
137.809524, 136.164383, 126.785714, 125.325637, 150.710526, 150.050277, 150.785714, 150.115916, false
178.047619, 175.928409, 177.285714, 175.172714, 154.684211, 154.102324, 179.589286, 178.797388, true
195.738095, 193.451994, 196.119048, 193.770829, 152.403509, 151.736729, 180.392857, 179.611809, false
171.595238, 169.549264, 174.023810, 171.947958, 151.000000, 150.409179, 177.651786, 176.862338, true
142.976190, 141.265203, 168.666667, 166.693688, 152.464912, 151.799223, 160.491071, 159.812293, false
181.285714, 179.115467, 176.190476, 174.107168, 148.245614, 147.709074, 178.258929, 177.462671, true
191.714286, 189.681249, 154.857143, 153.102507, 251.157895, 250.054158, 225.785714, 224.792433, false
155.880952, 154.020475, 164.333333, 162.409804, 168.131579, 167.392569, 163.758929, 163.027871, true
136.428571, 134.795764, 126.285714, 124.801761, 149.149123, 148.503248, 150.607143, 149.973178, false
154.595238, 152.746928, 169.214286, 167.191400, 171.491228, 170.738499, 164.883929, 164.148846, true
206.214286, 203.801487, 196.738095, 194.399023, 186.517544, 185.701976, 192.508929, 191.654728, false
158.333333, 156.437091, 164.547619, 162.624348, 168.912281, 168.169919, 163.991071, 163.257355, true
